Rank,NCT_Number,Title,Recruitment,Study Results,Conditions,Interventions,Sponsor_Collaborators,Gender,Age Groups,Phases,Enrollment,Funded Bys,Study Types,Study Designs,Other IDs,First Received,Start Date,Completion Date,Last Updated,Last Verified,Results First Received,Acronym,Primary Completion Date,Outcome Measures,URL
913,NCT02720042,Study of Phasix‰ã¢ Mesh for VHWG Grade 3 Midline Hernia Repair,Recruiting,No Results Available,"Hernia|Hernia, Abdominal|Hernia, Incisional",Device: Phasix‰ã¢ Mesh,C. R. Bard,Both,Adult|Senior,,85,Industry,Interventional,Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label,DVL-HE-016,"February 11, 2016",Feb-16,Sep-19,"April 7, 2016",Apr-16,No Study Results Posted,null,Apr-18,Surgical Site Occurrence|Hernia Recurrence|Surgical Site Infections|Change in Pain|Incidence Device-related Adverse Events|Rate of Reoperation due to Index Hernia Repair|Carolinas Comfort Scale|EuroQol-5D|Surgical procedure time as measured from incision to closure|Time Until Return to Work|Length of Hospital Stay|Cost of Care,https://ClinicalTrials.gov/show/NCT02720042
914,NCT02720003,A Single Arm Trial Evaluating the BARD Lutonix Drug-Coated Balloon (LTX DCB) for Treatment of Femoropopliteal Arteries,Recruiting,No Results Available,Femoral Artery Stenosis|Femoral Artery Occlusion|Stenosis of Popliteal Arteries|Occlusion of Popliteal Arteries,Device: LTX DCB,C. R. Bard,Both,Adult|Senior,,147,Industry,Interventional,Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label,BC1401PV,"February 26, 2016",Mar-16,Jun-19,"March 31, 2016",Mar-16,No Study Results Posted,null,Jun-18,"Primary Efficacy - Percentage of Subjects With Primary Patency of the Target Lesion at One Year|Primary Safety - Percentage of Subjects With Composite of Freedom From All-cause Peri-operative Death and Freedom From the Following: Index Limb Amputation, Index Limb Re-intervention, and Index-limb-related Death|Device Success|Technical Success|Acute Technical Success|Procedural Success|Percentage of Subjects with Primary Patency of the Target Lesion|Target Lesion Revascularization|Change in Rutherford Classification|Change in Ankle Brachial Index|Percentage of subjects who died from any cause|Amputation-free Survival|Percentage of subjects with Target Vessel Revascularization",https://ClinicalTrials.gov/show/NCT02720003
915,NCT02719990,Open-label Extension Study to Evaluate the Safety of Long-term Monthly Administration of Somavaratan in Adults With GHD,Recruiting,No Results Available,Adult Growth Hormone Deficiency (AGHD),Drug: somavaratan,Versartis Inc.|Premier Research Group plc,Both,Adult|Senior,Phase 2,250,Industry,Interventional,Allocation: Non-Randomized|Endpoint Classification: Safety Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label,15VR8,"March 16, 2016",Jan-16,Dec-19,"March 24, 2016",Mar-16,No Study Results Posted,null,Dec-19,"Safety as measured by the number of subjects with adverse events, concomitant medications, safety labs, vital signs and physical exams|Immunogenicity of VRS-317 by measurement of serum anti-drug antibody (ADA) titers|Immunogenicity of VRS-317 by detection of neutralizing antibodies (NAbs)|Pharmacodynamics of VRS-317 by measurement of serum Insulin-like Growth Factor-1 (IGF-1) and Insulin-like Growth Factor Binding Protein-3 (IGFBP-3)",https://ClinicalTrials.gov/show/NCT02719990
916,NCT02719938,Triggered Palliative Care for Advanced Dementia,Recruiting,No Results Available,Alzheimer Disease|Dementia,Behavioral: Specialty Palliative Care,"University of North Carolina, Chapel Hill|Icahn School of Medicine at Mount Sinai",Both,Adult|Senior,,120,Other,Interventional,Allocation: Randomized|Intervention Model: Single Group Assignment|Primary Purpose: Supportive Care|Masking: Single Blind (Outcomes Assessor),15-1708,"March 21, 2016",Mar-16,Jul-17,"March 30, 2016",Mar-16,No Study Results Posted,null,Jul-17,Hospital transfers|Comfort|Caregiver Strain|Access to hospice or palliative care|POLST (Physician Orders for Life Sustaining Treatment)|Palliative Care Domains|Burdensome treatment,https://ClinicalTrials.gov/show/NCT02719938
917,NCT02719899,Effect of Fasting and Refeeding on T-cell Fate,Recruiting,No Results Available,Asthma|Inflammation,,"National Heart, Lung, and Blood Institute (NHLBI)|National Institutes of Health Clinical Center (CC)",Both,Adult,,30,NIH,Observational,Time Perspective: Prospective,160085|16-H-0085,"March 24, 2016",Mar-16,Feb-17,"April 6, 2016",Mar-16,No Study Results Posted,null,Feb-17,To explore the effect of fasting and refeeding on NLRP3 inflammasome and it's ability to orchestrate differentiation of na(SqrRoot) ve T cells into TH2 cell.|To identify if nutrient-load regulates T-Cell differentiation capacity and to test whether this pathway could be investigated as atherapeutic target to blunt/negate the inflammation associated with nutrient-excess associated diseases includin...|Evaluate whether these effects are associated with activation of the Sirt3 and its canonical mitochondrial adaptive programs.,https://ClinicalTrials.gov/show/NCT02719899
918,NCT02719847,Additive Value of Endobronchial Ultrasound-Guided Transbronchial Needle Aspiration (EBUS-TBNA) for Staging Non-Small Cell Lung Cancer in Patients Evaluated for Stereotactic Body Radiation Therapy,Recruiting,No Results Available,Lung Cancer,Procedure: Endobronchial ultrasound-guided transbronchial needle aspiration (EBUS-TBNA),M.D. Anderson Cancer Center,Both,Adult|Senior,,150,Other,Interventional,Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Diagnostic|Masking: Open Label,2015-0615,"March 21, 2016",Mar-16,null,"March 21, 2016",Mar-16,No Study Results Posted,null,Mar-20,Lymphnode Staging Accuracy,https://ClinicalTrials.gov/show/NCT02719847
919,NCT02719808,Study of Antiretroviral Therapy to Prevent HBV Intrauterine Infection,Recruiting,No Results Available,"Hepatitis B, Chronic",Drug: Tenofovir1|Drug: Tenofovir2|Drug: Tenofovir3|Drug: Tenofovir4,First Affiliated Hospital Xi'an Jiaotong University,Female,Child|Adult|Senior,,500,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,XJTU1AHCR2014-018,"March 6, 2016",Mar-15,Feb-18,"March 24, 2016",Feb-16,No Study Results Posted,null,Dec-17,deoxyribonucleic acid of Hepatitis B Virus (HBV-DNA) in serum|the concentration of Interleukin 2 (IL-2)|interferon-ë_ (IFN-ë_)|Interleukin 4 (IL-4)|Interleukin 6 (IL-6)|T cell ratio|HBV-DNA of babies|hepatitis B e-antigen (HBeAg)|HBV-DNA in placenta tissue,https://ClinicalTrials.gov/show/NCT02719808
920,NCT02719795,Pectoral Nerves Blocks for Chronic Pain,Recruiting,No Results Available,Breast Neoplasms,Drug: Ropivacaine|Drug: Normal saline,First Affiliated Hospital Xi'an Jiaotong University,Female,Adult|Senior,Phase 0,140,Other,Interventional,"Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)",XJTU1AF-CRS-2016-003,"March 15, 2016",Apr-16,May-17,"April 13, 2016",Apr-16,No Study Results Posted,PNBCP,Dec-16,The incidence of chronic postoperative pain for 3 months after modified radical mastectomy surgery|Postoperative Numerical Rating scale (NRS) score for pain,https://ClinicalTrials.gov/show/NCT02719795
921,NCT02719782,TCR-Redirected T Cell Infusions to Treat Recurrent Hepatocellular Carcinoma Post Liver Transplantation,Recruiting,No Results Available,Recurrent Hepatocellular Carcinoma,Other: Biological: HBV antigen specific TCR redirected T cell,"Lion TCR Pte. Ltd.|Agency for Science, Technology and Research|Third Affiliated Hospital, Sun Yat-Sen University",Both,Adult,Phase 1|Phase 2,10,Industry|Other,Interventional,Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label,LTCR-HCC-I-2,"March 21, 2016",Dec-15,Nov-20,"March 21, 2016",Mar-16,No Study Results Posted,null,Nov-17,Safety of the TCR treatment (according to CTCAE 4.0)|Efficacy of induction of tumor specific T cell responses as measured by the persistence of HBV specific T cells in peripheral blood samples at several time points following adoptive transfer|Systemic release of inflammatory cytokines after administration of transduced T cells compared to baseline,https://ClinicalTrials.gov/show/NCT02719782
922,NCT02719665,THE OMEGA-SPM-DOSE and OMEGA-SPM-PAD: Specialized Pro-Resolving Mediators in Patients With Peripheral Artery Disease,Recruiting,No Results Available,Critical Limb Ischemia|Peripheral Artery Disease,"Dietary Supplement: SPM Emulsion, Dose-modality|Dietary Supplement: SPM Emulsion|Other: Placebo","University of California, San Francisco",Both,Child|Adult|Senior,Phase 1,50,Other,Interventional,"Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Investigator)",15-17371,"March 21, 2016",Mar-16,null,"March 28, 2016",Mar-16,No Study Results Posted,null,Mar-20,Optimal Phase 1b Dose|Change in the Resolution Index,https://ClinicalTrials.gov/show/NCT02719665
923,NCT02719652,Vessel Wall and Perfusion Imaging in Intracranial Atherosclerosis,Recruiting,No Results Available,Intracranial Atherosclerosis,,Xiuhai Guo|Capital Medical University,Both,Adult|Senior,,300,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,ICAD-001,"March 16, 2016",Nov-15,Sep-17,"March 27, 2016",Mar-16,No Study Results Posted,null,Jun-16,"Stroke recurrence|Death|Any stroke, severe transient ischemic attack (TIA) outside the territory of symptomatic MCA|Stroke of asymptomatic participants",https://ClinicalTrials.gov/show/NCT02719652
924,NCT02719574,Dose-Escalation Study of FT-2102 as a Single Agent and in Combination With Azacitidine in Patients With AML or MDS With an IDH1 Mutation,Recruiting,No Results Available,Acute Myeloid Leukemia|Acute Myelogenous Leukemia|Myelodysplastic Syndrome,Drug: FT-2102|Drug: Azacitidine,"Forma Therapeutics, Inc.",Both,Adult|Senior,Phase 1,76,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label,2102-HEM-101,"March 21, 2016",Apr-16,Jul-18,"April 21, 2016",Apr-16,No Study Results Posted,null,Mar-18,Maximum Tolerated Doses (MTDs)|Dose LImiting Toxicities (DLTs)|Doses recommended for future studies|Area under the plasma concentration versus time curve (AUC)|Peak Plasma Concentration (Cmax)|Time of peak plasma concentration (TMax)|Time for half of the drug to be absent in blood stream following dose (T 1/2)|Rate at which drug is removed from blood stream (CL/F)|Rate of drug distribution within the blood stream (Vd/F)|Observe patients for any evidence of anti-leukemic or anti-myelodysplastic activity of FT-2102 as single agent or in combination with azacitidine,https://ClinicalTrials.gov/show/NCT02719574
925,NCT02719535,Corneal Biomechanics and Corneal Reshaping Therapy,Recruiting,No Results Available,Myopia,Other: Corneal reshaping therapy,The Hong Kong Polytechnic University,Both,Adult,,60,Other,Interventional,Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label,B-Q46G,"January 18, 2016",Jan-16,Dec-17,"March 21, 2016",Jan-16,No Study Results Posted,null,Dec-17,Change of corneal stiffness from baseline at 6 months|Change of tangent modulus from baseline at 6 months,https://ClinicalTrials.gov/show/NCT02719535
926,NCT02719509,Emergency Department Cardiac Ultrasound,Recruiting,No Results Available,Chest Pain|Dyspnea,Procedure: Cardiac Ultrasound,Minneapolis Medical Research Foundation,Both,Adult|Senior,,500,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,HSR # 15-4092,"February 4, 2016",Feb-16,Jul-16,"March 21, 2016",Mar-16,No Study Results Posted,null,Jul-16,Incidence of management changes,https://ClinicalTrials.gov/show/NCT02719509
927,NCT02719418,Study of the Bioaccumulation of Tinzaparin in Renally Impaired Patients When Given at Prophylactic Doses,Recruiting,No Results Available,"Renal Insufficiency, Chronic|Deep Venous Thrombosis, Protection Against",Drug: Tinzaparin,Maisonneuve-Rosemont Hospital,Both,Adult|Senior,,25,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,STRIP-001,"March 14, 2016",Feb-16,Oct-16,"March 21, 2016",Mar-16,No Study Results Posted,STRIP,Oct-16,Peak anti-Xa levels in patients with eGFR ‰ä_ 30 mL/min/1.73 m2 receiving repeated daily doses of tinzaparin for VTE prophylaxis|Peak anti-Xa levels in patients with eGFR ‰ä_ 20 mL/min/1.73 m2 receiving repeated daily doses of tinzaparin for VTE prophylaxis|Anti-Xa trough level,https://ClinicalTrials.gov/show/NCT02719418
928,NCT02719405,Impact of Infant Formula on Resolution of Cow's Milk Allergy,Recruiting,No Results Available,Milk Allergy,Dietary Supplement: Lactobacillus GG|Dietary Supplement: Extensively Hydrolyzed Casein Formula|Dietary Supplement: Amino Acid Formula,Massachusetts General Hospital|Mead Johnson Nutrition,Both,Child,Phase 2,231,Other|Industry,Interventional,"Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Basic Science|Masking: Double Blind (Subject, Caregiver, Investigator)",2015P000962,"October 30, 2015",Feb-16,Feb-19,"March 21, 2016",Mar-16,No Study Results Posted,null,Feb-19,"The percentage of subjects who develop tolerance to cow's milk protein by 12 months post randomization to study formula.|Safety as assessed by adverse events graded using the NCI-CTCAE scale by treatment group.|Tolerance as assessed by the transcriptional profile of milk-specific T cells by clinical outcome.|Tolerance as assessed by weight for age Z-scores.|Tolerance as assessed by length for age Z-scores.|Tolerance as assessed by weight for length Z-scores.|Tolerance as assessed by stool consistency using the Bristol Stool Chart.|Tolerance as assessed by stool frequency.|Tolerance as assessed by changes in the stool microbiome.|Tolerance as assessed by the estimated frequency of milk-specific T cells by clinical outcome.|Tolerance as assessed by the TCR diversity of milk-specific T cells by clinical outcome.|Tolerance as assessed by the milk allergen component-specific IgE, IgG4 and IgA by clinical outcome.",https://ClinicalTrials.gov/show/NCT02719405
929,NCT02719314,Glucocorticoid-induced Osteoporosis in Patients With Chronic Inflammatory Rheumatic Diseases or Psoriasis,Recruiting,No Results Available,Osteoporosis,Drug: Glucocorticoid treatment,"Prof Dr Frank Buttgereit|Charite University, Berlin, Germany",Both,Adult|Senior,,10000,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,EA1/367/14,"March 21, 2016",Dec-15,Jul-29,"March 21, 2016",Mar-16,No Study Results Posted,Rh-GIOP,Nov-25,Bone mineral density|glucocorticoid dosage,https://ClinicalTrials.gov/show/NCT02719314
930,NCT02719288,Peroneal and Achilles Tendon Repair Indications With CLARIXå¨ CORD 1K,Recruiting,No Results Available,Peroneal and Achilles Tendon Tears,Biological: CLARIXå¨ CORD 1K graft,"Amniox Medical, Inc.",Both,Adult|Senior,,40,Industry,Interventional,Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Single Blind (Subject),CR-2010,"March 17, 2016",Feb-16,Dec-17,"March 21, 2016",Mar-16,No Study Results Posted,PATRICC,Dec-17,Change from baseline in patient questionnaire describing function limitation (American Orthopaedic Foot and Ankle Society ankle hindfoot score).,https://ClinicalTrials.gov/show/NCT02719288
931,NCT02719262,Reduced of Ambient Melamine Exposure by Melamine Workplace Intervention,Recruiting,No Results Available,Environmental Exposure,Device: installing ventilation in the workplace,Kaohsiung Medical University Chung-Ho Memorial Hospital,Both,Adult,,30,Other,Interventional,Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Prevention|Masking: Open Label,KMU-F105002,"March 16, 2016",Jan-16,Dec-17,"March 21, 2016",Mar-16,No Study Results Posted,null,Dec-17,Urinary melamine concentration measured by liquid chromatograph/tandem mass spectrometry|oxidative stress markers 8-hydoxy-2-deoxyguanosine (8-OHdG)|oxidative stress markers malondialdehyde (MDA)|renal injury markers N-acetyl ë_-D-glucosaminidase (NAG)|renal injury markers microalbumin|renal injury markers ë_2-microglobulin (ë_2-MG),https://ClinicalTrials.gov/show/NCT02719262
932,NCT02719236,Direct Anterior Approach Versus Direct Lateral Approach in Total Hip Arthroplasty,Recruiting,No Results Available,Coxarthrosis,Procedure: direct anterior approach|Procedure: direct lateral approach,Iuliu Hatieganu University of Medicine and Pharmacy|Emergency County Hospital Cluj-Napoca,Both,Adult|Senior,Phase 4,100,Other,Interventional,"Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Caregiver, Investigator, Outcomes Assessor)",517/17.12.2015,"February 12, 2016",Dec-15,Jun-18,"March 21, 2016",Mar-16,No Study Results Posted,DAAvsDLA,Dec-17,Muscle damage assay using Myoglobin biomarker|Muscle damage assay using Troponin T biomarker|Functional outcome using Harris Hip Score|Functional outcome using the Oxford Hip Score Survey|Functional outcome using the 36-Item Short Form Health Survey (SF-36)|Functional outcome using the 20-meters-timed-walk(66 feet) test|Functional outcome using the Stair Climbing Test (SCT)|Post Operative Pain Medication Usage|Pain assessment using the Visual Numeric Scale|Muscle damage - Creatine kinase (CK)|Muscle damage - Lactate dehydrogenase (LDH or LD)|Muscle damage assay using Aspartate aminotransferase (AST)|radiological assessment of cup positioning in the replaced hip|radiological assessment of stem positioning in the replaced hip|radiological assessment of cup and stem osteointegration in the replaced hip|Length of Hospital Stay,https://ClinicalTrials.gov/show/NCT02719236
933,NCT02719210,High Volume Plasma Exchange in Children With Acute Liver Failure,Recruiting,No Results Available,Acute Liver Failure,Biological: High Volume Plasma Exchange|Drug: Hypertonic 3% saline|Drug: Mannitol|Device: Elective positive pressure ventilation,"Institute of Liver and Biliary Sciences, India",Both,Child|Adult,,30,Other,Interventional,Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label,ILBS-ALF-02,"February 17, 2016",Jan-16,Dec-17,"March 21, 2016",Feb-16,No Study Results Posted,null,Dec-17,"Transplant free Survival.|Transplant free survival|Survival after liver transplant with or without High Volume Plasma Exchange.|Incidence of organ dysfunction (other than liver and Central Nervous System).|Number of organs (other than liver and CNS) affected in children with organ dysfunction.|Incidence of High Volume Plasma Exchange related complications- Major/Minor.|Change in hemodynamic parameters and Hepatic Encephalopathy (HE) before and after in the High Volume Plasma Exchange group group.|Change in hemodynamic parameters and Hepatic Encephalopathy (HE) before and after in the High Volume Plasma Exchange group.|Change in Laboratory parameters - Bilirubin, INR and Ammonia in control group.|Change in Laboratory parameters - Bilirubin, INR and Ammonia- in control group.|Change in the levels of IL-6 and TNF alpha (Tumor Necrosis Factor) in HVPE arm from baseline till within 24-hours of the last session of High Volume Plasma Exchange.|Change in the levels of IL-6 and TNF alpha (Tumor Necrosis Factor) in control arm from baseline till 5 days.",https://ClinicalTrials.gov/show/NCT02719210
934,NCT02719197,First-in-man Study of Single Ascending Dose of a New Drug for Neurological Disorders,Recruiting,No Results Available,Healthy Subjects,Drug: AC-083|Drug: Placebo,Actelion,Male,Adult,Phase 1,48,Industry,Interventional,"Allocation: Randomized|Endpoint Classification: Safety Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Caregiver, Investigator)",AC-083-101|2015-005012-15,"March 14, 2016",Feb-16,Jul-16,"March 21, 2016",Mar-16,No Study Results Posted,null,Jun-16,Number of participants with adverse events (AEs)|Changes from baseline in supine blood pressure|Changes from baseline in electrocardiogram (ECG) variables|Changes from baseline in pulse rate|Maximum plasma concentration (Cmax) following single oral ascending doses|Time to reach Cmax (tmax) following single oral ascending doses|Terminal half-life [t(1/2)] following single oral ascending doses|Area under the plasma concentration-time curve (AUC) following single oral ascending doses,https://ClinicalTrials.gov/show/NCT02719197
935,NCT02719184,Longitudinal Follow up to Assess Biomarkers Predictive of Emphysema Progression in Patients With COPD (Chronic Obstructive Pulmonary Disease),Recruiting,No Results Available,"Pulmonary Disease, Chronic Obstructive|Pulmonary Emphysema",,Boehringer Ingelheim,Both,Adult,,540,Industry,Observational,Observational Model: Cohort|Time Perspective: Prospective,352.2069,"March 18, 2016",Apr-16,Jan-19,"April 18, 2016",Apr-16,No Study Results Posted,null,Jan-19,Duration of exacerbations|Severity of exacerbations|Lung function decline|Number of exacerbations|Change of lung density assessed by computed tomography scan,https://ClinicalTrials.gov/show/NCT02719184
936,NCT02719171,BI 655066 Compared to Placebo in Patients With Active Psoriatic Arthritis,Recruiting,No Results Available,"Arthritis, Psoriatic",Drug: Placebo|Drug: BI 655066 high dose|Drug: BI 655066 medium high dose|Drug: BI 655066 medium dose|Drug: BI 655066 low dose,Boehringer Ingelheim,Both,Adult|Senior,Phase 2,180,Industry,Interventional,Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double-Blind,1311.5|2015-003625-34,"March 18, 2016",Apr-16,Sep-17,"April 18, 2016",Apr-16,No Study Results Posted,null,May-17,American College of Rheumatology (ACR) 20 response at Week 16|Change in Tender Joint Count at Week 16 as compared to baseline|Change in Swollen Joint Count at Week 16 as compared to baseline|Change in Dactylitis Count at Week 16 as compared to baseline (in patients with dactylitis at baseline)|American College of Rheumatology (ACR) 50 response at Week 16|American College of Rheumatology (ACR) 70 response at Week 16|Change in Health Assessment Questionnaire-Disability Index (HAQ-DI) at Week 16 as compared to baseline|Change in Short Form-36 Health Survey (SF-36) at Week 16 as compared to baseline|Change in Spondyloarthritis Research Consortium of Canada (SPARCC) Enthesitis Index at Week 16 as compared to baseline (in patients with enthesitis at baseline)|Change in modified Nail Psoriasis Severity Index (mNAPSI) at Week 16 as compared to baseline (in patients with nail psoriasis)|Psoriasis Area and Severity Index (PASI) 90 response at Week 16 assessed in patients with a >/= 3% baseline psoriasis Body Surface Area (BSA),https://ClinicalTrials.gov/show/NCT02719171
937,NCT02719158,Dose Ranging Study of OTO-201 in AOMT,Recruiting,No Results Available,Acute Otitis Media|AOMT,Drug: 6 mg ciprofloxacin|Drug: 12 mg ciprofloxacin|Other: Sham,"Otonomy, Inc.",Both,Child,Phase 2,125,Industry,Interventional,Allocation: Randomized|Endpoint Classification: Safety Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Single Blind (Caregiver),201-201508,"March 21, 2016",Feb-16,Jul-16,"March 21, 2016",Mar-16,No Study Results Posted,null,Jun-16,Safety as assessed by adverse events|Safety as assessed by otoscopic exams|Comparative clinical activity as assessed by the absence of otorrhea,https://ClinicalTrials.gov/show/NCT02719158
938,NCT02719145,Circulating Micro RNAs Expression in Egyptian Bronchial Asthma and COPD Patients,Recruiting,No Results Available,Asthma|COPD,,Tanta University,Both,Adult|Senior,,30,Other,Observational,Observational Model: Case Control|Time Perspective: Cross-Sectional,TFMEC1015,"March 19, 2016",Oct-15,Jun-16,"March 24, 2016",Mar-16,No Study Results Posted,null,Apr-16,"miR-7, miR-20a, miR-21, miR-22, miR-145 and miR-155 in serum samples from control, asthma and COPD Egyptian subjects.",https://ClinicalTrials.gov/show/NCT02719145
939,NCT02719119,Trial of Monthly Versus Bi-weekly Endoscopic Variceal Ligation for the Prevention of Esophageal Variceal Rebleeding,Recruiting,No Results Available,Esophageal and Gastric Varices,Procedure: monthly Endoscopic Variceal Ligation (EVL)|Procedure: bi-weekly Endoscopic Variceal Ligation (EVL),West China Hospital,Both,Adult|Senior,,60,Other,Interventional,Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label,monthly versus bi-weekly EVL,"March 19, 2016",Mar-16,Feb-17,"March 27, 2016",Mar-16,No Study Results Posted,null,Feb-17,variceal rebleeding rate|gastrointestinal rebleeding rate|variceal obliteration rate|number of sessions required to abstain variceal obliteration|adverse events|mortality,https://ClinicalTrials.gov/show/NCT02719119
940,NCT02719067,A Longitudinal Follow-up Imaging Study on Children and Adolescents With Autism Spectrum Disorder,Recruiting,No Results Available,Autism Spectrum Disorder,,National Taiwan University Hospital,Both,Child|Adult,,140,Other,Observational,Observational Model: Case Control|Time Perspective: Cross-Sectional,201602058RIN,"March 10, 2016",Jan-16,null,"March 20, 2016",Mar-16,No Study Results Posted,null,Dec-16,Structural neuroimaging|Neuropsychological functions,https://ClinicalTrials.gov/show/NCT02719067
941,NCT02718963,Treatment of Dysphagia by Using a Synchronized Electrical Stimulation Device,Recruiting,No Results Available,Deglutition Disorders,Device: Synchronized Electrical Stimulation Device,Seoul National University Hospital,Both,Adult|Senior,,20,Other,Interventional,Allocation: Randomized|Endpoint Classification: Safety Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label,B-1507/306-002,"March 20, 2016",Aug-15,Aug-16,"March 23, 2016",Mar-16,No Study Results Posted,null,Aug-16,pressure change,https://ClinicalTrials.gov/show/NCT02718963
942,NCT02718937,"Safety, Efficacy and Pharmacokinetics of BTA-C585 in a RSV Viral Challenge Study",Recruiting,No Results Available,Respiratory Syncytial Virus (RSV) Infection,Drug: BTA-C585 oral capsule|Drug: Matching placebo capsules,"Biota Pharmaceuticals, Inc.|Aviragen Therapeutics",Both,Adult,Phase 2,60,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)",BTA585-003,"March 21, 2016",Mar-16,null,"April 12, 2016",Apr-16,No Study Results Posted,null,Nov-16,Area under the curve (AUC) viral load of RSV-A Memphis 37b|Area under the curve (AUC) of total RSV symptom scores|Number of adverse events,https://ClinicalTrials.gov/show/NCT02718937
943,NCT02718924,Detecting Hypercoagulability in Morbidly Obese and Non Obese Parturients Following Cesarean Section Delivery,Recruiting,No Results Available,Pregnancy|Obesity|Hypercoagulability,,Corniche Hospital,Female,Adult,,40,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,ch23031401,"January 17, 2016",Nov-15,Jul-16,"March 23, 2016",Jan-16,No Study Results Posted,null,May-16,Calculated clot strength using EXTEM Maximum Clot Firmness (G value for EXTEM)|EXTEM clotting time and clot formation time in seconds.|EXTEM maximum clot firmness in millimeters|INTEM clotting time and clot formation time in seconds.|INTEM maximum clot firmness in millimeters|FIBTEM maximum clot firmness in millimeters,https://ClinicalTrials.gov/show/NCT02718924
944,NCT02718859,Study of the Combined Therapy for Pancreatic Cancer,Recruiting,No Results Available,Pancreatic Cancer,Biological: NK cells|Procedure: irreversible electroporation (IRE ),"Fuda Cancer Hospital, Guangzhou",Both,Adult|Senior,Phase 1|Phase 2,60,Other,Interventional,Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label,pancreatic cancer NK cells,"March 9, 2016",Mar-16,Mar-17,"March 19, 2016",Mar-16,No Study Results Posted,null,Mar-17,Relief degree|Progress free survival•_öPFS•_ä|Overall survival•_öOS•_ä,https://ClinicalTrials.gov/show/NCT02718859
945,NCT02718820,Pembrolizumab Plus Docetaxel for the Treatment of Recurrent or Metastatic Head and Neck Cancer,Recruiting,No Results Available,Head and Neck Carcinoma,Drug: Docetaxel|Drug: Pembrolizumab,Medical University of Vienna,Both,Adult|Senior,Phase 1|Phase 2,22,Other,Interventional,Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label,PemDoc II,"March 15, 2016",Mar-16,Aug-18,"March 23, 2016",Mar-16,No Study Results Posted,null,Jan-18,"Overall response rate|Best overall response categories i.e. complete response (CR), partial response (PR), stable disease (SD) and progressive disease (PD) given in percentages of the total study population|Individual duration of response over time|To report changes in the in health-related quality-of-life scores per patient measured according to the European Organisation for Research and Treatment of Cancer (EORTC) quality of life questionnaire (QLQ) C-30 scoring manual|To report changes in the in health-related quality-of-life scores per patient measured according to the European Organisation for Research and Treatment of Cancer (EORTC) quality of life questionnaire (QLQ) H&N35 scoring manual|Median Overall Survival (OS)|Number of participants with treatment-related adverse events as assessed by CTCAE v4.0|Median Progression Free Survival (PFS)",https://ClinicalTrials.gov/show/NCT02718820
